Text	Label
senators urge jeff bezos to give amazon warehouse workers sick leave hazard pay cnbc senators urge jeff bezos to give amazon warehouse workers sick leave hazard pay cnbc amazon warehouse workers fear catching coronavirus just to get you your	UNINFORMATIVE
senators call on jeff bezos to provide amazon warehouse employees with sick leave and hazard pay amid coronavirus concerns	UNINFORMATIVE
a professor has died after contracting #coronavirus a book of condolence will be available online soon for professor peter sinclair from the department of economics	INFORMATIVE
a professor has passed away after contracting #coronavirus and an online book of condolence will soon be available for professor peter sinclair from the department of economics	INFORMATIVE
真把公主不当干部 breaking 21 people on grand princess cruise ship docked off the california coast tested positive for coronavirus including 19 crew members and two passengers vice pres mike pence says 24 people tested negative	INFORMATIVE
the grand princess cruise ship anchored off the california coast has confirmed 21 coronavirus cases19 crew members and 2 passengerswhile 24 others tested negative according to vice president mike pence	INFORMATIVE
dear in #covid2019 casegive tools machines to #bangladesh not money bcoz #climate fund money was stolen by the ruling party	UNINFORMATIVE
please provide #bangladesh with tools and machines for the #covid2019 crisis instead of money as previous #climate fund money was misused by the ruling party	UNINFORMATIVE
carma her family in san jose ca are possibly infected with #coronavirus since 6 feb in seattle way way more than 1000 cases in seattle now	INFORMATIVE
carma and her family in san jose ca may have been infected with #coronavirus since early february in seattlenow looking at way over 1000 cases there	INFORMATIVE
coronavirus cases in africa could shoot up from thousands now to 10 million within three to six months according to very provisional modelling a regional official said on thursday	UNINFORMATIVE
a regional official warned on thursday that coronavirus cases in africa might surge from thousands currently to 10 million within three to six months based on preliminary modeling	UNINFORMATIVE
إنا لله وإنـا إليه راجعون sad to hear about passing away of syed mehdi shah brother in law of cm sindh he was tested positive with #covid_19 may allah rest his soul in peace	INFORMATIVE
so sad to hear about the passing of syed mehdi shah brotherinlaw of the cm of sindh he had tested positive for #covid_19 may allah grant him eternal peace	INFORMATIVE
as number of #covid19 deaths surpassed 100000 worldwide ny surpassed italy on number of recorded deaths new york state has more coronavirus cases than any country worldwide	INFORMATIVE
with over 100000 #covid19 deaths globally new york has now recorded more fatalities than italy and the state has more coronavirus cases than any other country worldwide	INFORMATIVE
#covid19 updates #sothsudans fist positive patient is a 29 yo dutch who arrived in the country from netherlands via addis ababa on 28 february #ssot	INFORMATIVE
#covid19 news south sudans first confirmed case is a 29yearold dutch national who arrived from the netherlands via addis ababa on february 28 #ssot	INFORMATIVE
oklahoma city the state department of education announced monday the closure of all k12 public schools statewide until at least april 6 as the number of covid19 cases climb and the risk of community spread grows	UNINFORMATIVE
the oklahoma state department of education announced on monday that all k12 public schools across the state will remain closed until at least april 6 due to rising covid19 cases and increased risk of community transmission	UNINFORMATIVE
los angeles is now the county with the highest number of coronavirus cases in california breaks down the impact of #covid19 on la from cancelled college commencements to haphazard health screenings at lax airport #cheddarlive	UNINFORMATIVE
los angeles has become the county with the most coronavirus cases in california #cheddarlive examines how #covid19 is affecting la from canceled college graduations to inconsistent health checks at lax airport	UNINFORMATIVE
according to their report if you come in contact with someone who tests positive for covid19 you have a 15 chance of catching it as well whos report the world health organization this is a long read but very worth while	UNINFORMATIVE
according to their report if youre in contact with someone who tests positive for covid19 you have a 15 chance of catching it too its the world health organizations reportlengthy but definitely worth reading	UNINFORMATIVE
watch live discussion on #covid19 with union health minister dr harsh vardhan union health secretary ms preeti sudan dg icmr dr balram bhargava	UNINFORMATIVE
catch the live discussion on #covid19 featuring union health minister dr harsh vardhan union health secretary ms preeti sudan and dg icmr dr balram bhargava	UNINFORMATIVE
democrats somehow managed to fight ebola without calling it the african virus a cluster of covid19 cases has emerged in new york citys hassidic neighborhood so its only a matter of time before the local trump klux klan starts talking about the jew virus	UNINFORMATIVE
somehow democrats tackled ebola without labeling it the african virus now a cluster of covid19 cases has appeared in nycs hasidic community so its just a matter of time before the local trump supporters start referring to it as the jew virus	UNINFORMATIVE
coronavirus impact close taj mahal till march end agra mayor urges people scared of foreigners and looked at them with suspicion situation could turn nasty and tarnish indias image internationally he said not possible to tarnish india further	UNINFORMATIVE
the coronavirus has led to the closure of the taj mahal until the end of march the agra mayor warned that locals are frightened of foreigners and viewing them with suspicion which could escalate and damage indias global reputation he added that its hard to harm indias image any further	UNINFORMATIVE
official death toll from #covid19 in the united kingdom is now greater than germany poland switzerland austria portugal greece sweden finland norway ireland combined uk 675 million 233 dead above group 185 million 230 dead	INFORMATIVE
the official #covid19 death count in the united kingdom has now surpassed the combined total of germany poland switzerland austria portugal greece sweden finland norway and ireland uk 675 million population 233 deaths the listed countries 185 million population 230 deaths	INFORMATIVE
latest updates march 20 5274 new cases and 38 new deaths in the united states illinois governo pritzker issues stay at home order for all residents new york governor cuomo orders 100 of all nonessential workers to stay home pennssource coronaviruscountryus	INFORMATIVE
as of march 20 the us reports 5274 new cases and 38 additional deaths from coronavirus illinois governor pritzker has mandated a stayathome order for all residents while new york governor cuomo requires 100 of nonessential workers to remain home	INFORMATIVE
eu imposes entry ban for 30 days while death toll in the united states mounts to 100 death toll in italy due to #coronavirus crosses 2100 spain colombia malaysia and canada seal borders #covid19 #coronaviruspandemic #cuarentenanacional #cuarentenacoronavirus #coronaalert	INFORMATIVE
the eu announces a 30day entry ban as the death toll in the us reaches 100 while italys coronavirus fatalities surpass 2100 spain colombia malaysia and canada close their borders #covid19 #coronaviruspandemic #cuarentenanacional #cuarentenacoronavirus #coronaalert	INFORMATIVE
dearest mr president 1169 coronavirus deaths in the us in 24 hours covid19 pandemic is an international crime from china not a nature disasster please use your authorities to protect your people and world against china #chinahastocompensateall	INFORMATIVE
dear mr president weve seen 1169 coronavirus deaths in the us in just one day this covid19 pandemic is an international tragedy originating from china not a natural disaster please use your power to protect both our people and the world from further harm by holding china accountable #chinamustcompensateall	INFORMATIVE
1 week ago today march 14 there were only 115 cases of covid in fl today last count was at 763 that is a 563 increase in 1 week due to your slave to trump incompetence imagine next saturday if there is another 563 increasewe will be at 9300 resign	INFORMATIVE
a week ago on march 14th florida had just 115 confirmed covid cases todays count is at 763a jump of 563 in seven days thanks to your trumployal incompetence what happens if we see another increase like that next saturday wed hit nearly 9300 cases step down	INFORMATIVE
half of uruguays covid19 cases can be traced to a single fashion designer	UNINFORMATIVE
nearly half of uruguays coronavirus cases are linked to one fashion designer	UNINFORMATIVE
i think the president cyril ramaphosa should address us every day monday friday at 1830 throughout this ordeal #covid_19 #coronavirusinsa #lockdownsa	UNINFORMATIVE
i believe president cyril ramaphosa should speak to us daily from monday to friday at 630 pm during this difficult time #covid_19 #coronavirusinsa #lockdownsa	UNINFORMATIVE
day 8 shout out goes to kevin for his great coverage of covid 19 and community responses and needs coupled with applause to med students who are tracking positive peeps contacts	UNINFORMATIVE
day 8 shoutout to kevin for his outstanding coverage of covid19 and the communitys responses and needs along with a round of applause for med students tracking contacts of those who tested positive	UNINFORMATIVE
as #coronavirus spreads democratic republic of congo discharges last #ebola patient via	UNINFORMATIVE
as #coronavirus continues to spread the democratic republic of congo sends home its final #ebola patient via	UNINFORMATIVE
e don happen casala don burst governor of oyo state seyi makinde has tested positive to the deadly coronavirus few days after holding a political rally in the state #coronavirustruth	INFORMATIVE
governor seyi makinde of oyo state has tested positive for the deadly coronavirus shortly after hosting a political rally in the state #coronavirustruth	INFORMATIVE
trump was wrong he bed his election on shutting down viruscdc issues domestic travel advisory as coronavirus deaths double to over 2000 within two days	INFORMATIVE
trump was mistaken in basing his election hopes on shutting down the cdc issues a domestic travel advisory as coronavirus deaths double to over 2000 within two days	INFORMATIVE
the city of #stl will start tracking positive cases of #covid19 by zip code has your info this morning live from city hall #tisl	UNINFORMATIVE
the city of #stl will begin monitoring positive #covid19 cases by zip codedid you catch the update this morning live from city hall #tisl	UNINFORMATIVE
the line of cars just seems to get longer these folks demand release migrants held here in eloy to try and stop spread of covid human rights groups say at least two migrants in the detention center tested positive for virus	INFORMATIVE
the line of cars keeps growing as people push for the release of migrants held in eloy to prevent the spread of covid with human rights groups reporting that at least two migrants in the detention center have tested positive for the virus	INFORMATIVE
writing in fp have penned their case against lifting iran sanx over the #covid pandemic mark and rich are two of the smartest most influential advocates of the max pressure policy and well worth reading a few thoughts	UNINFORMATIVE
in a foreign policy article mark and richtwo of the sharpest and most influential supporters of the maximum pressure strategyhave laid out their argument against lifting iran sanctions during the #covid pandemic definitely worth a read	UNINFORMATIVE
on friday aipac announced that two attendees had tested positive for covid19 coronavirus mike pence and mitch mcconnell were both in attendance others are being self quarantined but not attendees from the us why	INFORMATIVE
on friday aipac revealed that two participants had tested positive for the coronavirus mike pence and mitch mcconnell both attended the event and while others are selfquarantining us attendees are not doing so	INFORMATIVE
check your email and visit the residence life covid19 plan for details on staying and checking out	UNINFORMATIVE
check your email and head to the residence life covid19 plan page for info on staying in or checking out	UNINFORMATIVE
kentucky republican rand paul is the first us senator to tested positive for covid19 house members diazbalart rfl and mcadams dut tested positive for coronavirus earlier this month	INFORMATIVE
kentucky republican rand paul has become the first us senator to test positive for covid19 though house members diazbalart rfl and mcadams dut had previously tested positive for the coronavirus earlier this month	INFORMATIVE
i have a place in philly and most of my family live in the general area im traveling a friend sent me this one floor of doylestown hospital is quarantined central bucks school district shut down coronavirus has arrived wth	UNINFORMATIVE
i have a place in philly and most of my family lives in the area a friend sent me thisapparently one floor of doylestown hospital is under quarantine and the central bucks school district has shut down coronavirus has officially arrived wth	UNINFORMATIVE
thread join speaks to human rights lawyer and infectious diseases doctor daisy tagarda govt eyes mass testing for suspected covid19 cases on april 14 nbi probes netizens spreading fake news dr tagarda shares story from the frontlines	UNINFORMATIVE
thread joining a conversation with human rights lawyer and infectious disease doctor daisy tagarda government plans mass testing for suspected covid19 cases on april 14 nbi investigates netizens for spreading fake news dr tagarda shares insights from the frontlines	UNINFORMATIVE
they both are relief hospitals provided by the federal government and federal protocols govern who can be admitted guess the feds are not that keen to ensure noncoronavirus cases get admitted to their hospitals so can put corona patients in our regular hospitals	UNINFORMATIVE
both are federal relief hospitals and admission follows federal protocolslooks like the feds arent too eager to take noncoronavirus patients so they can free up space in regular hospitals for coronavirus cases	UNINFORMATIVE
most #workplaces to close for one month from apr 7 to curb spread of #covid19 all the #singapore morning #news you need to know on one page for april 6 2020 via #sarscovs #coronavirus #covip19 #independentjournalism in #cambodia	UNINFORMATIVE
most #workplaces set to shut down for a month starting april 7 to slow the spread of #covid19 catch up on all the essential #singapore morning #news for april 6 2020 in one place brought to you via #sarscovs #coronavirus #covip19 #independentjournalism in #cambodia	UNINFORMATIVE
inside louisianas horrifying cancer alley an 85mile stretch of pollution and environmental racism thats now dealing with some of the highest coronavirus death rates in the country james pasley apr 9 2020 742 pm continued 4	UNINFORMATIVE
in louisianas grim cancer alleyan 85mile zone plagued by pollution and environmental racismresidents are now facing one of the nations highest coronavirus death tolls james pasley april 9 2020 742 pm continued 4	UNINFORMATIVE
#australia melbourne gp clinic closed after doctor tests positive for #coronavirus after seeing 70 patients this month abc news via	INFORMATIVE
melbourne gp clinic shuts down after doctor contracts #coronavirus having seen 70 patients this month abc news via	INFORMATIVE
the lss choices crisis hotline is available to help anyone experiencing #domesticviolence in franklin county call 6142244663 247 love shouldnt hurt #lssnetworkofhope experts fear domestic violence cases could rise during coronavirus outbreak	UNINFORMATIVE
the lss choices crisis hotline is here for anyone facing #domesticviolence in franklin countycall 6142244663 anytime 247 love shouldnt hurt #lssnetworkofhope experts worry domestic violence may increase during the coronavirus pandemic	UNINFORMATIVE
3 st xaviers school shivajinagar 4 st lourdes school cubbonpet 5 st lourdes school halasuru ulsoor please share #covid2019	UNINFORMATIVE
please share 3 st xaviers school shivajinagar 4 st lourdes school cubbonpet 5 st lourdes school halasuru ulsoor #covid2019	UNINFORMATIVE
#surgeongeneral just said 98 to 99 will recover #coronavirusupdates #coronavirus if 99 will recover why is the world economy shutting down why did the media lie that this virus has a 35 mortality rate its a #nwo control plan	UNINFORMATIVE
the surgeon general just stated that 98 to 99 percent will recover #coronavirusupdates #coronavirus if 99 percent are going to recover why is the global economy coming to a halt why did the media claim this virus has a 35 percent mortality rate its part of a #nwo control scheme	UNINFORMATIVE
motorhomes rvs for overworked healthcare workers a thought occurred to me in reading about how #healthcare workers are a so overworked and tired after their shifts and b so anxious over bringing #covid19 back to their families c in some cases s	UNINFORMATIVE
while reading about how overworked and exhausted #healthcare workers are after their shifts plus the anxiety they feel about possibly bringing #covid19 home to their families it made me thinkcould motorhomes or rvs be a solution in some cases	UNINFORMATIVE
issues stay at home order issued for vt effective 500pm today until april 15th please read the order for businesses that are deemed essential #vermontstrong #covid19 #thankyourgrocers #thankyournurses #thankyourdoctors #stayhome	UNINFORMATIVE
vermont has implemented a stayathome order starting at 500 pm today and continuing through april 15th please review the order for details on essential businesses #vermontstrong #covid19 #thankyourgrocers #thankyournurses #thankyourdoctors #stayhome	UNINFORMATIVE
when you divide the coronavirus stimulus package by the population of america and remember that the virus was first announced 6666 days after the 911 attacks	UNINFORMATIVE
when you calculate the coronavirus stimulus package per american and recall that the virus was first reported 6666 days after 911	UNINFORMATIVE
georgia in the coronavirus age chaos bad news mounting deaths more than 300 patients from cruise ship with covid land in atlanta during flight 3 found to test positive 1 sick cdc screened remaining patients released them to fly home crazy	INFORMATIVE
georgia amid the coronavirus crisis is facing chaos with rising deaths over 300 patients from a cruise ship arrive in atlanta where 3 test positive midflight one falls illafter cdc screening others are sent home	INFORMATIVE
usat aipac says 2 pple at dc conf attended by pence others tested positive for coronavirus the american israel public affairs committee told conf attendees some of whom include lawmakers that at least 2 confgoers have tested positive for covid19	INFORMATIVE
usat and aipac report that two individuals who attended a dc conference where pence and others were present have tested positive for the coronavirus the american israel public affairs committee informed attendees including lawmakers that at least two participants have tested positive for covid19	INFORMATIVE
senator loeffler and her husband sold shares in retail stores such as lululemon and tj maxx and invested in a company that makes covid19 protective garments in case governors were still wondering why price gouging on ppe products hasnt halted	UNINFORMATIVE
senator loeffler and her husband offloaded stocks in retailers like lululemon and tj maxx shifting funds to a firm producing coronavirus protective gearoffering insight into why governors may still be grappling with ongoing price gouging for ppe	UNINFORMATIVE
update the indian #rupee fell against the us #dollar recently indian #coronavirus cases risk exponentially growing with manufacturing slowing usdinr may rise but it faces fading momentum #india #rbi	UNINFORMATIVE
the indian #rupee has weakened against the us #dollar recently as rising #coronavirus cases threaten exponential growth and manufacturing activity slowsindicating potential gains for usdinr though momentum appears to be waning #india #rbi	UNINFORMATIVE
according to cmo lucknow dr narendra agarwal samples were taken of 25 people who had attended the tabglighi jamaat event all 25 people have been tested negative for covid19	INFORMATIVE
according to cmo lucknow dr narendra agarwal samples were collected from 25 individuals who attended the tablighi jamaat event and all have tested negative for covid19	INFORMATIVE
a california highway patrol officer stationed in oakland has tested positive for the coronavirus the latest bay area law enforcement officer to be diagnosed with the virus authorities said	INFORMATIVE
a california highway patrol officer based in oakland has tested positive for coronavirus becoming the latest bay area law enforcement officer to be diagnosed with the virus according to authorities	INFORMATIVE
#yemen if any covid19 case shows up in yemen god forbid then we hold the saudico regimes their masters full responsibility game over gestapo your biological warfare isnt going to break will of the people of yemen cholera diptheria are examples	UNINFORMATIVE
if a single case of #covid19 emerges in yemengod forbidwe hold the saudi regime and their backers fully responsible this biological warfare wont crush the will of yemens people cholera and diphtheria are proof of that	UNINFORMATIVE
just read this incredibly worrying covid19 cases confirmed in gaza and geno felt bad for paul hes been through so much lol good eyes old man	INFORMATIVE
just read about the alarming new covid19 cases confirmed in gaza and i feel terrible for paulhes been through a lot lately lol nice catch there old man	INFORMATIVE
an update on our efforts to secure covid19 test kits for the city of mobile	UNINFORMATIVE
heres an update on our progress in obtaining covid19 test kits for mobile	UNINFORMATIVE
it will get worse since and the politically correct gang who are pawns of the uns will promote the spread of the virus through international travel into canada ontario confirms three new covid19 cases	INFORMATIVE
things are likely to get worse as the politically correct group acting as pawns for the un push for international travel that brings the virus into canada ontario confirms three new covid19 cases	INFORMATIVE
