Text	Label
the official #covid19 death count in the united kingdom has now surpassed the combined total of germany poland switzerland austria portugal greece sweden finland norway and ireland uk 675 million population 233 deaths the listed countries 185 million population 230 deaths	INFORMATIVE
as #coronavirus continues to spread the democratic republic of congo sends home its final #ebola patient via	UNINFORMATIVE
i have a place in philly and most of my family lives in the area a friend sent me thisapparently one floor of doylestown hospital is under quarantine and the central bucks school district has shut down coronavirus has officially arrived wth	UNINFORMATIVE
just read this incredibly worrying covid19 cases confirmed in gaza and geno felt bad for paul hes been through so much lol good eyes old man	INFORMATIVE
just read about the alarming new covid19 cases confirmed in gaza and i feel terrible for paulhes been through a lot lately lol nice catch there old man	INFORMATIVE
the corona virus cases in ghana is moving like the eve peoples dance it moves forward comes back and move forward again 19 #covid_19 cases now ehii	UNINFORMATIVE
the number of coronavirus cases in ghana is going back and forth like the eve peoples dancemoving forward stepping back then moving forward again were at 19 #covid_19 cases now ehii	UNINFORMATIVE
healthcare workers make up 96 of confirmed covid19 cases in ontario has learned from government data that includes doctors nurses paramedics personal support workers longterm care home staff and other healthcare professionals	UNINFORMATIVE
healthcare workers account for 96 of confirmed covid19 cases in ontario according to government data that covers doctors nurses paramedics personal support workers longterm care staff and other medical professionals	UNINFORMATIVE
increase in covid19 cases in 1 day in europe portugal 51 estonia 46 finland 45 uk 43 czechia 33 austria ireland 30 slovenia 28 germany france belgium 23 spain switzerland 21 italy greece 20 netherlands romania 19 sweden 18 iceland 16 norway 8 denmark 3	UNINFORMATIVE
heres the latest on europes oneday rise in #covid19 cases portugal 51 estonia 46 finland 45 uk 43 czechia 33 austria ireland 30 slovenia 28 germany france belgium 23 spain switzerland 21 italy greece 20 netherlands romania 19 sweden 18 iceland 16 norway 8 denmark 3	UNINFORMATIVE
washingtons massive intervention comes as coronavirus cases spike with a terrifying 3050 new daily infections and no sign of slowing down	UNINFORMATIVE
everyone give it up for johnny covid and his underlying health conditions	UNINFORMATIVE
uch cmd reveals why patients are overcoming covid19 infection quickly for those who are returning to work after testing negative their action is not in tandem with the ncdc guidelines after the second test to always stay at home	UNINFORMATIVE
while was rallying in #michigan and bernie was blaming the establishment #teamtrump furthered their plan to distract voters by mishandling the coronavirus outbreak the night before #supertuesday2 716 us coronavirus cases were reported 36 states were infected	INFORMATIVE
a cherished eureka high school guidance counselor from st louis mo passes away due to covid19	INFORMATIVE
there are 193000 people walking this planet who have recovered from covid19 immune they are like demi gods who stride confidently as the rest of us cower	INFORMATIVE
give dem everything dem want and when please standby for an update on covid19 start give dem anxiety line up the ministry of health and wellness of jamaica will now provide an update on covid19 then when dem cyah manage dat jus tweet the numbers update 5o positive	INFORMATIVE
seems like someone at a scottsdale nightclub tested positive for coronavirus all you clubgoers better be careful when you come up on mewash your hands seriously	INFORMATIVE
donovan mitchell shares that his recovery from the coronavirus is progressing well in a video update posted by spida #nba	UNINFORMATIVE
coronavirus 19 nhs workers die with coronavirus but health sec says ppe not to blame more risk when in a hospital but nhs workers are also infected in the many ways others are travel to work shopping at home exercising etc #coronavirus #covid19	INFORMATIVE
heres an update on #covid_19 numbers from all countries56 recovered in china 65 total recovered so far my usual us data source from johns hopkins csse is down so check this alternative link instead #coronavirusupdates #coronaviruscanada #cdnpoli	UNINFORMATIVE
ups keeps operations going without any work stoppages throughout this crisis following the passing of a 55yearold manager from #covid_19 they provided employees with thin masks on tuesday social distancing is tough given the nature of their workplease consider testing them	INFORMATIVE
1118921 deaths from covid19 occurred in just a matter of months hi emma but what planet was those deaths on	UNINFORMATIVE
over 111892 deaths from covid19 happened in just a few monthshey emma but on which planet did these deaths occur	UNINFORMATIVE
qlds covid19 cases surge by 380 in just one weekmore details inside	UNINFORMATIVE
were not beggars sirpray the government releases the us virus it cant even kill a rat let alone us 450 died in just 48 hours in nyc alone if this virus were stronger than our malaria thousands would already be dead #covid419 has been twisted to enrich government officials	INFORMATIVE
these difficult times understatement of the year 18000 #covid_19 deaths described coldly as difficult 18000 includes the nonhospital deaths that this #tory government wish to wipe from their death filled record the 18000 is still increasing and will as it plateaus	INFORMATIVE
the prime minister recently gave an odd unsolicited response during his speech about testing for coronavirus and pneumonia despite collecting monthly data on pneumonia cases the ministry of health only releases it every three years and has no plans to share it more frequently	UNINFORMATIVE
polling taken april 6 to 8 from the progressive center for american progress showed 71 of michigan voters approve of how whitmer is handling the covid19 crisis and 29 disapprove trump was at 51 positive and 49 negative	UNINFORMATIVE
#resist #resistance yesterday 18 april 2020 about 1867 americans died of the coronavirus at the hands of donald trump while trump whined about how hes treated	INFORMATIVE
#resist #resistance on april 18 2020 around 1867 americans lost their lives to the coronavirus under donald trumps leadership yet he complained about how he was being treated	INFORMATIVE
#breaking two residents of koester pavilion a nursing home in miami county where coronavirus has been confirmed have died more to come	INFORMATIVE
#breaking two residents at koester pavilion a nursing home in miami county where coronavirus cases have been confirmed have passed away more updates to follow	INFORMATIVE
right now combining the coronavirus cases from new york and new jersey makes up 54 of all cases in the country	UNINFORMATIVE
sending best regards to sen ted obrien as he fights the coronavirus one of the gentlemen of #roc politics he has served his party his neighbors and his state with kindness and integrity	INFORMATIVE
wishing sen ted obrien all the best as he battles the coronavirushes a true gentleman in #roc politics who has always served his party neighbors and state with kindness and integrity	INFORMATIVE
in a grave health emergency this is the right decision there were more than 60 people at this #parliament meeting many must have interacted with the mp please step forward lets self isolate lets win this together #covid	INFORMATIVE
in a serious health crisis this is the right move over 60 people attended that #parliament meeting and many may have interacted with the mp please come forward lets selfisolate and beat this together #covid	INFORMATIVE
wth is wrong with uefa hundreds of thousands of people are literally dying so far 60000 covid19 deaths and all uefa care is for fas to compel their clubs to finish the season i think european clubs should just boycott stupid uefa	INFORMATIVE
